index,count,count_CCR,count_cys,shape_kid,shape_CCR,shape_cys,lumi_mean,lumi_std,lumi_max,lumi_min,lumi_mean_SE2_CCR,lumi_std_SE2_CCR,lumi_max_SE2_CCR,lumi_min_SE2_CCR,lumi_mean_SE2_cys,lumi_std_SE2_cys,lumi_max_SE2_cys,lumi_min_SE2_cys,lumi_mean_SE3_kid,lumi_std_SE3_kid,lumi_max_SE3_kid,lumi_min_SE3_kid,lumi_mean_SE3_CCR,lumi_std_SE3_CCR,lumi_max_SE3_CCR,lumi_min_SE3_CCR,lumi_mean_SE3_cys,lumi_std_SE3_cys,lumi_max_SE3_cys,lumi_min_SE3_cys
55,411066,7711.0,3975.0,65,13,19,182.77914982022355,95.12369069276451,347,-137,125.46284528595513,59.54532814285961,297.0,-86.0,56.23094339622642,69.9715917089201,303.0,-81.0,155.14496,74.90993,307.75476000000003,-118.30578600000001,117.70378000000001,46.77635,289.7567,-54.318604,56.352516,62.75830500000001,256.4463,-56.08923299999999
57,384900,94593.0,,62,41,0,103.12602753962068,70.76547793510629,483,-229,99.51101032845982,36.910350135833454,280.0,-999.0,,,,,97.22584499999999,56.470375,439.61584000000005,-212.4284,92.13656,32.700447,437.89232999999996,-999.674,,,,
58,498811,177274.0,,52,29,0,144.8894250527755,106.25385842724285,722,-367,63.273734444983475,65.89107314938475,722.0,-87.0,,,,,120.949875,79.56361,655.8993,-150.66235,52.0431,44.100178,655.8993,-85.91962,,,,
60,716493,260361.0,,70,51,0,113.26723638611959,70.93496315407388,361,-128,111.24049684860636,62.51816870740729,361.0,-114.0,,,,,100.35866999999999,48.73105,197.41418000000002,-120.1427,89.7397,31.836437,189.63977,-101.58411,,,,
61,741051,8656.0,331534.0,78,16,52,63.67501831857727,92.64949257081508,638,-161,77.27934380776341,40.53292537093503,181.0,-117.0,-5.773848232760441,37.87062777546378,304.0,-166.0,64.671234,86.81613,400.75427,-135.96844,71.64509,34.058834000000004,134.32811999999998,-107.93011499999999,-5.8872089999999995,33.625927000000004,226.8573,-149.40094
62,279766,4613.0,200.0,53,9,14,134.64997533653124,96.66366604086241,327,-165,176.9449382180793,63.4113161603838,276.0,-61.0,219.01,64.0498235750888,302.0,-94.0,141.7089,89.18661,311.32678,-145.643,118.44003000000001,49.773823,206.00537,-103.45508000000001,172.30872,22.198616,252.67139,70.738525
63,344281,9635.0,174.0,69,12,6,103.48668093795477,63.385346292708356,335,-134,146.75609756097558,47.08432831568384,268.0,-90.0,52.83333333333334,69.45246313857649,168.0,-79.0,139.58891,62.35886,238.70812999999998,-105.821655,125.72057,34.854557,200.0387,-65.76965,59.49706,74.924065,195.21326000000002,-63.332703
64,879917,547839.0,297.0,76,54,11,84.08847652676332,47.25778177447116,574,-795,72.35684023955945,38.194485159941664,375.0,-522.0,46.66666666666666,37.830207230790826,149.0,-28.0,81.15741,40.663948,508.60582999999997,-719.6724,66.27736,28.010239000000002,363.13916,-453.22125,51.789806,35.9944,144.24243,-14.376709
65,406813,24064.0,24628.0,54,19,28,105.880598702598,75.9685213426004,452,-174,162.87329621010642,55.86491437909072,325.0,-61.0,14.986681825564398,25.909165637714075,231.0,-111.0,121.02548999999999,68.81353,242.65308,-122.05011,119.75666000000001,28.998317999999998,215.05945,-37.79242,16.365408,26.416967,207.75879,-76.89905
66,550214,109083.0,41464.0,71,43,57,97.05710868861935,86.51252050702392,440,-134,22.059303466167965,35.117455708547496,275.0,-145.0,66.31608142002703,71.5002565936681,283.0,-126.0,81.1384,69.12371,394.73035,-214.07117000000002,17.625359,29.051628000000004,201.44201999999999,-336.68915,79.34595999999999,64.32126,210.32092000000003,-118.894775
67,464738,27584.0,10813.0,60,23,26,100.82113147622962,81.11304873327414,350,-149,55.94649071925753,35.98364371898929,315.0,-100.0,20.773605844816426,39.05087039728495,229.0,-130.0,108.81322,75.539,752.6139999999999,-133.01538,55.82479,26.848894,172.31714,-79.01037600000001,26.529358000000002,42.831657,192.74182,-122.004456
68,438974,1964.0,5105.0,68,8,33,157.9452177122107,83.46138533247577,457,-169,131.5427698574338,49.64834283948164,280.0,-27.0,108.46601371204703,95.42778815872046,350.0,-94.0,152.92018000000002,56.775845,382.00464,-160.69928000000002,112.4751,36.764763,208.93126999999998,-35.861940000000004,96.90723,79.55989,237.33105,-94.68945
69,382154,4125.0,35.0,49,9,3,179.08617468350457,82.15785004218193,360,-152,140.92242424242426,52.56349505412353,283.0,-16.0,83.17142857142858,63.200129165458286,248.0,-14.0,141.28484,56.753952000000005,262.687,-665.7284,114.46133,41.906807,219.6466,-71.92633000000001,50.24872,34.177128,146.66553000000002,-6.176697
71,557505,94855.0,,65,44,0,85.38751580703313,50.966134339022254,360,-136,91.24087291128565,54.4814846579189,245.0,-999.0,,,,,88.719574,45.09843,252.99877999999998,-245.56274,74.482925,46.639538,148.30053999999998,-999.9246,,,,
72,305151,10812.0,,60,15,0,112.41761947363764,88.14915053370913,330,-163,132.32519422863484,55.7788185752875,307.0,-95.0,,,,,96.64806,70.05409,270.3861,-145.40094,85.04564,34.80064,180.45276,-87.12268,,,,
73,684739,248935.0,70128.0,74,42,64,112.32105955699907,86.47196233584766,403,-143,141.50078936268503,72.46774116481181,379.0,-999.0,42.968771389459285,75.95130683349501,382.0,-139.0,92.48609,63.551308,420.98193,-125.582825,104.21817,39.913754,207.56592,-999.8879,33.47298,57.47682,209.28099999999998,-114.57128999999999
